B11,B12,B2,B3,B4,B5,B6,B7,B8,B8A,Elevation,VH_Asc,VH_Desc,VV_Asc,VV_Desc,h_canopy
2441,1828,755,1069,1076,1561,2676,3100,3185,3269,-9.804602,-15.2809381,-15.24345742,-5.582068804,-4.363366265,15.547374
2272,1428.5,574,868.5,783.5,1353.5,2879,3399,3494.5,3591,314.74622,-13.51613238,-14.30106035,-7.298399213,-6.559213038,9.683533
2438,1369,546,858,635,1302,3155,3791,3922,4053,19.71005,-15.20826887,-15.31160831,-8.072394311,-7.661994022,3.9029922
2539,1842,776,1077,1089,1592,2652,3067,3193,3264,-10.771251,-15.92405941,-16.29962208,-7.873659377,-8.995119015,3.0532598
2118,1245.5,582.5,886.5,764,1316,2840,3382.5,3476,3596.5,225.35457,-13.34713148,-15.12825068,-6.199467191,-7.30241472,9.825623
2422,1328.5,469,776,577.5,1264.5,3098.5,3758.5,3796,4015,236.96452,-14.80320242,-14.81515097,-8.537865808,-7.742212055,12.716873
2584,1912,787,1081,1136,1585,2459,2815,2877,3018,-14.608941,-16.8670392,-16.71977475,-10.35356783,-9.622635454,2.54860685
2887,2251,969,1276,1365,1833,2537,2874,2860,3027,-15.970997,-14.96829882,-15.69202946,-8.292277041,-8.073347463,3.0974941
2544,1911,818,1087,1035,1505,2543,2940,2976,3092,2.384822,-14.93846998,-15.69289048,-7.197829737,-7.209080824,9.81278
2393.5,1594.5,536.5,833,847.5,1332.5,2557.5,2981,3050.5,3218.5,2041.8644,-15.3503356,-18.42153195,-8.300238064,-11.49240264,7.276367
2185.5,1255.5,394.5,689.5,516,1166,3035.5,3566.5,3670,3813.5,2013.0494,-11.71236545,-17.11535226,-4.290503997,-10.95401665,6.9658203
2162.5,1346.5,625.5,934,832.5,1370.5,2808.5,3277,3354,3422.5,137.63678,-14.70937959,-14.5322766,-8.174317646,-7.295136878,23.415878
1820,1079,538,825.5,720,1256,2434,2837,2862,3017,-14.042576,-14.90648706,-15.7418161,-8.191677336,-8.564059908,3.3258634
1677,1002,553,865.5,716,1222.5,2206.5,2564.5,2584,2744.5,-17.409262,-15.66058028,-15.95550814,-9.413518847,-9.537976825,2.6550589
2035,1310,645,967,906,1358,2343,2639,2774,2836,-21.72491,-17.32124463,-17.27088302,-9.786238502,-11.04818897,4.9555893
2279,1641.5,712,1040.5,922.5,1461.5,2614,3014,3079.5,3123.5,-14.648762,-16.29147164,-16.26353425,-9.37477295,-9.29578125,6.3165703
2282,1429.5,708.5,1045.5,940.5,1553,2970,3435,3471,3629.5,41.278816,-15.1648337,-14.98858101,-7.286172267,-7.231734763,8.667
1846,1181,745.5,1030.5,977.5,1412.5,2250,2627.5,2701.5,2743,-23.019781,-16.40973894,-16.76435605,-9.363524986,-8.613912673,4.5349865
2346.5,1343,493,843,637.5,1374.5,3118,3669.5,3696.5,3902,36.06849,-14.76928588,-14.60303711,-8.107782474,-6.994434972,8.361149
2398,1712,815,1132,1054,1588,2918,3308,3421,3485,-15.692443,-15.79128854,-16.49533283,-8.750998759,-8.877295084,4.281967
2443,1629.5,742,999.5,966,1485.5,2604.5,3003,3063,3218,-23.157402,-16.08898749,-16.39778318,-9.101319158,-9.178049728,6.673481
